Index;Group;ID;Transformation;FRED;Description;Frequency
1;National Income and Product Accounts;1;First difference of log;GDPC1;GDP;Quarterly
2;National Income and Product Accounts;2;First difference of log;PCECC96;Consumption;Quarterly
3;National Income and Product Accounts;3;First difference of log;PCDGx;Cons:Dur;Quarterly
4;National Income and Product Accounts;4;First difference of log;PCESVx;Cons:Svc;Quarterly
5;National Income and Product Accounts;5;First difference of log;PCNDx;Cons:NonDur;Quarterly
6;National Income and Product Accounts;6;First difference of log;GPDIC1;Investment;Quarterly
7;National Income and Product Accounts;7;First difference of log;FPIx;FixedInv;Quarterly
8;National Income and Product Accounts;8;First difference of log;Y033RC1Q027SBEAx;Inv:Equip&Software;Quarterly
9;National Income and Product Accounts;9;First difference of log;PNFIx;FixInv:NonRes;Quarterly
10;National Income and Product Accounts;10;First difference of log;PRFIx;FixedInv:Res;Quarterly
11;National Income and Product Accounts;11;No transformation;A014RE1Q156NBEA;Inv:Inventories;Quarterly
12;National Income and Product Accounts;12;First difference of log;GCEC1;Gov.Spending;Quarterly
13;National Income and Product Accounts;13;No transformation;A823RL1Q225SBEA;Gov:Fed;Quarterly
14;National Income and Product Accounts;14;First difference of log;FGRECPTx;RealGovReceipts;Quarterly
15;National Income and Product Accounts;15;First difference of log;SLCEx;Gov:State&Local;Quarterly
16;National Income and Product Accounts;16;First difference of log;EXPGSC1;Exports;Quarterly
17;National Income and Product Accounts;17;First difference of log;IMPGSC1;Imports;Quarterly
18;National Income and Product Accounts;18;First difference of log;DPIC96;Disp-Income;Quarterly
19;National Income and Product Accounts;19;First difference of log;OUTNFB;Ouput:NFB;Quarterly
20;National Income and Product Accounts;20;First difference of log;OUTBS;Output:Bus;Quarterly
21;National Income and Product Accounts;21;First difference of log;OUTMS;Output:Manuf;Quarterly
22;National Income and Product Accounts;190;First difference;B020RE1Q156NBEA;ShareGDPExport;Quarterly
23;National Income and Product Accounts;191;First difference;B021RE1Q156NBEA;ShareGDPImport;Quarterly
24;Output and Income;22;First difference of log;INDPRO;IP:Totalindex;Quarterly
25;Output and Income;23;First difference of log;IPFINAL;IP:Finalproducts;Quarterly
26;Output and Income;24;First difference of log;IPCONGD;IP:Consumergoods;Quarterly
27;Output and Income;25;First difference of log;IPMAT;IP:Materials;Quarterly
28;Output and Income;26;First difference of log;IPDMAT;IP:Durgdsmaterials;Quarterly
29;Output and Income;27;First difference of log;IPNMAT;IP:Nondurgdsmaterials;Quarterly
30;Output and Income;28;First difference of log;IPDCONGD;IP:DurCons. Goods;Quarterly
31;Output and Income;29;First difference of log;IPB51110SQ;IP:Auto;Quarterly
32;Output and Income;30;First difference of log;IPNCONGD;IP:NonDurConsGod;Quarterly
33;Output and Income;31;First difference of log;IPBUSEQ;IP:BusEquip;Quarterly
34;Output and Income;32;First difference of log;IPB51220SQ;IP:EnergyPrds;Quarterly
35;Output and Income;33;No transformation;TCU;CapuTot;Quarterly
36;Output and Income;34;No transformation;CUMFNS;CapuMan.;Quarterly
37;Output and Income;194;First difference of log;IPMANSICS;IndProdManuf;Quarterly
38;Output and Income;195;First difference of log;IPB51222S;IndProdResUtilities;Quarterly
39;Output and Income;196;First difference of log;IPFUELS;IndProdFuels;Quarterly
40;Labor Market;35;First difference of log;PAYEMS;Emp:Nonfarm;Quarterly
41;Labor Market;36;First difference of log;USPRIV;Emp:Private;Quarterly
42;Labor Market;37;First difference of log;MANEMP;Emp:mfg;Quarterly
43;Labor Market;38;First difference of log;SRVPRD;Emp:Services;Quarterly
44;Labor Market;39;First difference of log;USGOOD;Emp:Goods;Quarterly
45;Labor Market;40;First difference of log;DMANEMP;Emp:DurGoods;Quarterly
46;Labor Market;41;First difference of log;NDMANEMP;Emp:NondurGoods;Quarterly
47;Labor Market;42;First difference of log;USCONS;Emp:Const;Quarterly
48;Labor Market;43;First difference of log;USEHS;Emp:Edu&Health;Quarterly
49;Labor Market;44;First difference of log;USFIRE;Emp:Finance;Quarterly
50;Labor Market;45;First difference of log;USINFO;Emp:Infor;Quarterly
51;Labor Market;46;First difference of log;USPBS;Emp:BusServ;Quarterly
52;Labor Market;47;First difference of log;USLAH;Emp:Leisure;Quarterly
53;Labor Market;48;First difference of log;USSERV;Emp:OtherSvcs;Quarterly
54;Labor Market;49;First difference of log;USMINE;Emp:Mining/NatRes;Quarterly
55;Labor Market;50;First difference of log;USTPU;Emp:Trade&Trans;Quarterly
56;Labor Market;51;First difference of log;USGOVT;Emp:Gov;Quarterly
57;Labor Market;52;First difference of log;USTRADE;Emp:Retail;Quarterly
58;Labor Market;53;First difference of log;USWTRADE;Emp:Wholesal;Quarterly
59;Labor Market;54;First difference of log;CES9091000001;Emp:Gov(Fed);Quarterly
60;Labor Market;55;First difference of log;CES9092000001;Emp:Gov(State);Quarterly
61;Labor Market;56;First difference of log;CES9093000001;Emp:Gov(Local);Quarterly
62;Labor Market;57;First difference of log;CE16OV;Emp:Total(HHSurve);Quarterly
63;Labor Market;58;First difference;CIVPART;LFPartRate;Quarterly
64;Labor Market;59;First difference;UNRATE;UnempRate;Quarterly
65;Labor Market;60;First difference;UNRATESTx;Urate_ST;Quarterly
66;Labor Market;61;First difference;UNRATELTx;Urate_LT;Quarterly
67;Labor Market;62;First difference;LNS14000012;Urate:Age16-19;Quarterly
68;Labor Market;63;First difference;LNS14000025;Urate:Age>20Men;Quarterly
69;Labor Market;64;First difference;LNS14000026;Urate:Age>20Women;Quarterly
70;Labor Market;65;First difference of log;UEMPLT5;U:Dur<5wks;Quarterly
71;Labor Market;66;First difference of log;UEMP5TO14;U:Dur5-14wks;Quarterly
72;Labor Market;67;First difference of log;UEMP15T26;U:dur>15-26wks;Quarterly
73;Labor Market;68;First difference of log;UEMP27OV;U:Dur>27wks;Quarterly
74;Labor Market;69;First difference of log;LNS13023621;U:Joblosers;Quarterly
75;Labor Market;70;First difference of log;LNS13023557;U:LFReenty;Quarterly
76;Labor Market;71;First difference of log;LNS13023705;U:JobLeavers;Quarterly
77;Labor Market;72;First difference of log;LNS13023569;U:NewEntrants;Quarterly
78;Labor Market;73;First difference of log;LNS12032194;Emp:SlackWk;Quarterly
79;Labor Market;74;First difference of log;HOABS;EmpHrs:BusSec;Quarterly
80;Labor Market;75;First difference of log;HOAMS;EmpHrs:mfg;Quarterly
81;Labor Market;76;First difference of log;HOANBS;EmpHrs:nfb;Quarterly
82;Labor Market;77;No transformation;AWHMAN;AWHMan;Quarterly
83;Labor Market;78;First difference;AWHNONAG;AWHPrivat;Quarterly
84;Labor Market;79;First difference;AWOTMAN;AWHOvertime;Quarterly
85;Labor Market;80;No transformation;HWIx;HelpWnted;Quarterly
86;Labor Market;197;First difference;UEMPMEAN;AvgDurUnempWks;Quarterly
87;Labor Market;198;First difference;CES0600000007;AvgWeeklyHoursProdNonsupEmpGoodsProd;Quarterly
88;Labor Market;220;First difference;HWIURATIOx;RatioHelpWantedToUnemployed;Quarterly
89;Labor Market;221;First difference of log;CLAIMSx;InitialClaims;Quarterly
90;Housing;81;First difference of log;HOUST;Hstarts;Quarterly
91;Housing;82;First difference of log;HOUST5F;Hstarts>5units;Quarterly
92;Housing;83;First difference of log;PERMIT;Hpermits;Quarterly
93;Housing;84;First difference of log;HOUSTMW;Hstarts:MW;Quarterly
94;Housing;85;First difference of log;HOUSTNE;Hstarts:NE;Quarterly
95;Housing;86;First difference of log;HOUSTS;Hstarts:S;Quarterly
96;Housing;87;First difference of log;HOUSTW;Hstarts:W;Quarterly
97;Housing;179;First difference of log;USSTHPI;RealHprice:OFHEO;Quarterly
98;Housing;180;First difference of log;SPCS10RSA;RealCS_10;Quarterly
99;Housing;181;First difference of log;SPCS20RSA;RealCS_20;Quarterly
100;Housing;227;First difference of log;PERMITNE;BuildingPermitsNortheast;Quarterly
101;Housing;228;First difference of log;PERMITMW;BuildingPermitsMidwest;Quarterly
102;Housing;229;First difference of log;PERMITS;BuildingPermitsSouthCensus;Quarterly
103;Housing;230;First difference of log;PERMITW;BuildingPermitsWestCensus;Quarterly
104;Consumption, Orders and Inventories;88;First difference of log;CMRMTSPLx;MTSales;Quarterly
105;Consumption, Orders and Inventories;89;First difference of log;RSAFSx;Ret. Sale;Quarterly
106;Consumption, Orders and Inventories;90;First difference of log;AMDMNOx;Orders(DurMfg);Quarterly
107;Consumption, Orders and Inventories;91;First difference of log;ACOGNOx;Orders(ConsGoods/Mat.);Quarterly
108;Consumption, Orders and Inventories;92;First difference of log;AMDMUOx;UnfOrders(DurGds);Quarterly
109;Consumption, Orders and Inventories;93;First difference of log;ANDENOx;Orders(NonDefCap);Quarterly
110;Consumption, Orders and Inventories;94;First difference of log;INVCQRMTSPL;MTInvent;Quarterly
111;Consumption, Orders and Inventories;222;First difference of log;BUSINVx;BusinessInventory;Quarterly
